Description	ID	nc	nt	sp
 Neurospora crassa OR74A hypothetical protein (2320 aa)	119	1	1	0
"histidine kinase Mak2"	122	0	0	1
 Neurospora crassa OR74A stage V sporulation protein K (2308 aa)	124	1	1	0
estExt_Genemark.C_811032	127	2	1	0
estExt_fgenesh1_pg.C_40859	129	2	1	0
estExt_fgenesh1_pm.C_50325	130	1	1	1
"acetyl-CoA/biotin carboxylase"	131	1	1	1
 Neurospora crassa OR74A hypothetical protein (2252 aa)	138	1	1	0
"carbamoyl-phosphate synthase (glutamine hydrolyzing), aspartate carbamoyltransferase Ura1"	139	0	0	1
 Neurospora crassa OR74A hypothetical protein (2220 aa)	140	1	1	0
 Neurospora crassa OR74A semicolonial-1 (2219 aa)	141	1	1	0
 Neurospora crassa OR74A hypothetical protein (2212 aa)	143	1	1	0
estExt_fgenesh1_pm.C_811524	144	1	1	1
 Neurospora crassa OR74A perithecial-1 (2207 aa)	147	1	1	0
estExt_fgenesh1_pg.C_811688	148	1	1	0
 Neurospora crassa OR74A hypothetical protein (2203 aa)	150	2	1	0
"morphogenesis protein Mor2"	152	0	0	1
 Neurospora crassa OR74A hypothetical protein (2190 aa)	153	1	1	0
 Neurospora crassa OR74A hypothetical protein (2186 aa)	155	1	1	0
estExt_Genewise1Plus.C_40005	157	3	1	0
 Neurospora crassa OR74A nonidentical kinase-2 (2178 aa)	162	2	1	0
estExt_fgenesh1_pg.C_810098	165	0	1	0
 Neurospora crassa OR74A ubr1-like (2157 aa)	166	1	1	0
estExt_Genewise1Plus.C_10716	168	2	1	0
 Neurospora crassa OR74A tRNA-splicing endonuclease (2131 aa)	169	1	1	0
fgenesh1_pm.5_#_144	170	1	1	0
estExt_Genewise1.C_41021	173	2	1	1
 Neurospora crassa OR74A hypothetical protein (2112 aa)	177	1	0	0
"myosin II heavy chain Myo3"	178	0	0	1
"CCR4-Not complex subunit Not1 (predicted)"	180	0	0	1
estExt_Genewise1Plus.C_60383	182	1	1	0
estExt_Genewise1.C_22514	184	2	1	1
estExt_Genemark.C_10986	187	1	1	0
 Neurospora crassa OR74A HEAT repeat containing protein (2085 aa)	188	1	1	0
 Neurospora crassa OR74A COPII coat assembly protein sec-16 (2085 aa)	189	3	1	0
 Neurospora crassa OR74A hypothetical protein (2078 aa)	193	1	1	0
 Neurospora crassa OR74A activating signal cointegrator 1 complex subunit 3 (2067 aa)	196	1	1	0
estExt_Genewise1Plus.C_60066	199	1	1	0
"UBR ubiquitin ligase Ubr11"	201	0	0	1
estExt_fgenesh1_pg.C_10179	202	1	1	0
estExt_fgenesh1_pm.C_20436	204	1	1	0
estExt_Genemark.C_60455	205	4	1	0
estExt_Genemark.C_810819	208	1	1	0
 Neurospora crassa OR74A non-ribosomal peptide synthetase (2035 aa)	209	1	1	0
estExt_fgenesh1_pg.C_812025	210	1	1	0
estExt_fgenesh1_pm.C_60092	215	1	1	0
 Neurospora crassa OR74A hypothetical protein (2015 aa)	218	2	1	0
 Neurospora crassa OR74A chromatin remodelling factor 2-1 (2012 aa)	220	2	1	0
 Neurospora crassa OR74A hypothetical protein (1998 aa)	225	1	1	0
"multidomain vesicle coat component Sec16 (predicted)"	226	0	0	1
 Neurospora crassa OR74A DNA topoisomerase 2 (1995 aa)	227	2	1	0
estExt_fgenesh1_pg.C_810420	229	1	1	0
estExt_fgenesh1_pm.C_60541	231	0	1	0
 Neurospora crassa OR74A JmjC domain-containing histone demethylation protein 3D (1978 aa)	232	1	1	0
estExt_Genemark.C_60318	233	2	1	0
estExt_Genewise1Plus.C_31559	234	2	1	0
 Neurospora crassa OR74A hypothetical protein (1970 aa)	237	2	1	0
"N-end-recognizing protein Ubr1"	238	0	0	1
"sporulation protein Spo15"	239	0	0	1
estExt_fgenesh1_pm.C_21279	240	1	1	0
"1,3-beta-glucan synthase subunit Bgs4"	241	1	1	4
estExt_fgenesh1_pg.C_30286	243	1	1	0
"TATA-binding protein associated factor Mot1 (predicted)"	249	2	1	1
estExt_Genemark.C_811435	254	1	1	0
"tRNA-splicing endonuclease positive effector Dbl8"	258	0	0	1
estExt_Genewise1Plus.C_811995	259	1	1	0
 Neurospora crassa OR74A protein transporter sec72 (1941 aa)	261	1	1	0
 Neurospora crassa OR74A ultraviolet photoreactivation-1 (1939 aa)	263	1	1	0
"ATP-dependent RNA helicase Slh1 (predicted)"	265	0	0	1
"1-phosphatidylinositol-3-phosphate 5-kinase Fab1"	266	0	0	1
 Neurospora crassa OR74A dopey domain-containing protein (1923 aa)	269	1	1	0
"RecQ type DNA helicase Tlh1"	271	0	0	2
"Pof6 interacting protein Sip1, predicted AP-1 accessory protein"	272	0	0	1
 Neurospora crassa OR74A ankyrin repeat protein (1909 aa)	274	1	0	0
"DNA repair protein Mus7/Mms22"	282	0	0	1
estExt_Genemark.C_10472	284	2	1	0
 Neurospora crassa OR74A phospholipase D1 (1886 aa)	285	1	1	0
 Neurospora crassa OR74A hypothetical protein (1885 aa)	287	1	0	0
"1-phosphatidylinositol 4-kinase Stt4 (predicted)"	288	0	0	1
estExt_Genemark.C_10489	290	0	1	0
 Neurospora crassa OR74A chitin synthase-5 (1875 aa)	291	1	1	0
estExt_Genewise1.C_52231	292	0	1	0
estExt_Genewise1.C_810761	295	2	1	0
 Neurospora crassa OR74A atrx ortholog (1870 aa)	298	1	0	0
 Neurospora crassa OR74A hypothetical protein (1869 aa)	299	1	0	0
estExt_Genewise1.C_22511	300	2	1	1
estExt_fgenesh1_pg.C_11002	303	1	1	0
estExt_Genewise1Plus.C_31460	305	1	1	0
"calcium channel Cch1"	307	0	0	1
estExt_fgenesh1_pg.C_20732	309	1	1	0
 Neurospora crassa OR74A hypothetical protein (1848 aa)	310	2	1	0
 Neurospora crassa OR74A DEAD/DEAH box helicase (1848 aa)	311	2	1	0
estExt_Genemark.C_810618	313	1	1	0
estExt_Genemark.C_50071	314	1	1	0
estExt_fgenesh1_pg.C_60169	317	1	1	0
estExt_Genemark.C_60212	321	0	1	0
 Neurospora crassa OR74A PHD finger and BAH domain-containing protein (1843 aa)	323	1	1	0
"formin Cdc12"	324	0	0	1
"nucleoporin nup211"	327	0	0	1
estExt_fgenesh1_pg.C_20522	328	1	1	0
estExt_Genewise1Plus.C_13174	330	0	1	0
"separase/separin"	332	0	0	1
 Neurospora crassa OR74A hypothetical protein (1827 aa)	334	1	1	0
estExt_fgenesh1_pg.C_811201	336	4	1	0
"Sec7 domain protein, ARF GEF Sec72"	337	0	0	2
 Neurospora crassa OR74A hypothetical protein (1821 aa)	338	2	1	0
 Neurospora crassa OR74A chitin synthase 6 (1820 aa)	340	1	1	0
 Neurospora crassa OR74A bni1-like (1818 aa)	341	1	1	0
 Neurospora crassa OR74A hypothetical protein (1809 aa)	346	1	1	0
estExt_Genewise1Plus.C_20160	348	1	1	0
 Neurospora crassa OR74A rRNA biogenesis protein RRP5 (1799 aa)	355	1	1	1
"actin cortical patch component, with EF hand and WH2 motif Panl (predicted)"	356	0	0	1
 Neurospora crassa OR74A RING finger membrane protein (1794 aa)	357	1	1	0
 Neurospora crassa OR74A U3 small nucleolar RNA-associated protein 10 (1789 aa)	359	1	1	0
estExt_fgenesh1_pg.C_21083	360	2	1	0
 Neurospora crassa OR74A hypothetical protein (1784 aa)	361	1	0	0
"nucleoporin Nup98 and Nup96"	362	0	0	1
 Neurospora crassa OR74A MEK kinase-1 (1779 aa)	363	2	1	0
 Neurospora crassa OR74A hypothetical protein (1766 aa)	369	1	1	0
 Neurospora crassa OR74A hypothetical protein (1763 aa)	370	1	1	0
estExt_Genewise1.C_810640	371	1	1	1
estExt_Genewise1Plus.C_41449	374	2	1	0
e_gw1.1.16.1	376	3	1	0
 Neurospora crassa OR74A hypothetical protein (1751 aa)	383	1	1	0
 Neurospora crassa OR74A anucleate primary sterigmata protein B (1749 aa)	384	1	0	0
estExt_fgenesh1_pm.C_30890	385	1	1	0
 Neurospora crassa OR74A Rgf3-like (1745 aa)	386	2	1	0
estExt_Genewise1.C_12855	387	1	1	0
estExt_fgenesh1_pm.C_40746	389	0	1	0
estExt_fgenesh1_pg.C_10714	390	1	1	0
 Neurospora crassa OR74A alpha-1,3-glucanase (1737 aa)	391	1	1	0
 Neurospora crassa OR74A hypothetical protein (1730 aa)	396	1	1	0
"medial ring protein Alm1"	398	0	0	1
 Neurospora crassa OR74A DNA replication helicase Dna2 (1728 aa)	399	1	1	0
 Neurospora crassa OR74A chromatin remodelling factor 7-1 (1727 aa)	400	1	1	0
 Neurospora crassa OR74A hypothetical protein (1724 aa)	402	3	1	0
"DEAD/DEAH box helicase"	403	0	0	1
 Neurospora crassa OR74A hypothetical protein (1708 aa)	405	2	1	0
"serine/threonine protein kinase Ppk19"	407	0	0	1
 Neurospora crassa OR74A hypothetical protein (1707 aa)	408	1	1	0
estExt_fgenesh1_pm.C_11187	410	1	1	0
estExt_fgenesh1_pm.C_40382	412	1	1	1
 Neurospora crassa OR74A pfs domain-containing protein (1697 aa)	414	1	0	0
"adenylate cyclase"	415	0	0	1
e_gw1.81.61.1	421	0	1	0
fgenesh1_pm.4_#_117	422	1	1	0
"ATP-dependent 5' to 3' DNA/RNA helicase Sen1"	423	0	0	1
"Dopey family protein (predicted)"	424	0	0	1
 Neurospora crassa OR74A hyphal anastomosis-5 (1687 aa)	426	2	1	0
"ATP-dependent DNA helicase Snf22"	428	0	0	1
"proteasome complex subunit Ecm29"	429	0	0	1
estExt_Genewise1Plus.C_814046	430	1	1	1
 Neurospora crassa OR74A BTB domain and ankyrin repeat containing protein (1676 aa)	432	1	1	0
estExt_fgenesh1_pg.C_50688	433	1	1	0
estExt_fgenesh1_pm.C_30630	434	0	1	0
estExt_Genemark.C_60596	435	1	1	0
 Neurospora crassa OR74A golgi complex component (1670 aa)	436	1	1	0
e_gw1.81.69.1	438	2	1	0
estExt_fgenesh1_pm.C_60452	439	1	1	0
estExt_Genewise1.C_61203	442	1	1	0
 Neurospora crassa OR74A hypothetical protein (1660 aa)	444	1	0	0
 Neurospora crassa OR74A hypothetical protein (1657 aa)	446	1	1	0
estExt_Genewise1.C_11605	447	1	1	0
 Neurospora crassa OR74A hypothetical protein (1656 aa)	448	2	1	0
 Neurospora crassa OR74A nuclear condensin complex subunit Smc4 (1651 aa)	451	1	0	0
"U3 snoRNP-associated protein Utp10 (predicted)"	452	0	0	1
estExt_Genewise1Plus.C_814366	453	1	1	0
"nucleoporin Nup186"	456	0	0	1
"HECT-type ubiquitin-protein ligase E3 (predicted)"	457	0	0	1
"autophagy associated protein Atg2"	458	0	0	1
estExt_fgenesh1_pm.C_10788	459	1	1	0
 Neurospora crassa OR74A hypothetical protein (1647 aa)	460	1	1	0
estExt_fgenesh1_pg.C_10671	462	2	1	0
 Neurospora crassa OR74A hypothetical protein (1641 aa)	463	1	0	0
"histidine kinase Mak1"	464	0	0	1
 Neurospora crassa OR74A suppressor of ascus-dominance-1 (1639 aa)	466	1	1	0
estExt_fgenesh1_pm.C_40623	467	0	1	0
 Neurospora crassa OR74A two-component system response regulator (1632 aa)	470	1	1	0
"HIRA interacting protein Hip3"	472	0	0	1
"THO complex subunit Tho2 (predicted)"	473	0	0	1
estExt_Genewise1Plus.C_22235	474	1	1	0
 Neurospora crassa OR74A hypothetical protein (1627 aa)	476	1	1	0
estExt_fgenesh1_kg.C_50389	481	0	1	0
 Neurospora crassa OR74A hypothetical protein (1624 aa)	482	1	1	0
 Neurospora crassa OR74A hypothetical protein (1620 aa)	484	1	1	0
 Neurospora crassa OR74A ABC multidrug transporter (1619 aa)	486	1	1	0
"guanyl-nucleotide exchange factor (predicted)"	487	0	0	1
 Neurospora crassa OR74A ABC drug exporter AtrF (1613 aa)	489	3	3	1
"WIP family cytoskeletal protein (predicted)"	490	0	0	1
 Neurospora crassa OR74A set-domain histone methyltransferase-7 (1612 aa)	491	1	0	0
"RQC complex ubiquitin-protein ligase E3 Rkr1 (predicted)"	492	0	0	1
estExt_Genemark.C_50636	493	1	1	0
 Neurospora crassa OR74A hypothetical protein (1610 aa)	494	1	1	0
"SNF2 family helicase Ino80"	497	0	0	1
estExt_Genewise1.C_52019	498	0	1	0
fgenesh1_pg.4_#_870	500	1	1	0
estExt_Genemark.C_20387	501	1	1	0
 Neurospora crassa OR74A hypothetical protein (1603 aa)	503	1	1	0
estExt_Genewise1Plus.C_20696	504	1	1	0
fgenesh1_pg.1_#_35	506	1	1	0
estExt_Genemark.C_40347	507	1	1	1
 Neurospora crassa OR74A Spo76 protein (1596 aa)	509	1	1	0
estExt_Genemark.C_10403	510	1	1	1
estExt_fgenesh1_pg.C_21060	513	1	1	0
"multi-copy suppressor of Chk1"	514	0	0	1
"adherin, cohesin loading factor Mis4"	515	0	0	1
 Neurospora crassa OR74A dicer-like protein 1 (1585 aa)	516	1	1	0
 Neurospora crassa OR74A hypothetical protein (1579 aa)	520	1	1	0
"eIF2 alpha kinase Gcn2"	521	0	0	1
 Neurospora crassa OR74A hypothetical protein (1575 aa)	522	1	1	0
"ribosome biogenesis protein Urb1 (predicted)"	527	0	0	1
 Neurospora crassa OR74A hypothetical protein (1569 aa)	528	2	1	0
estExt_Genemark.C_810589	529	1	1	0
 Neurospora crassa OR74A hypothetical protein (1566 aa)	531	1	1	0
"nucleoporin Nup184"	532	0	0	1
"galactose-specific flocculin Gsf2"	533	0	0	1
 Neurospora crassa OR74A DEAD/DEAH box DNA helicase (1564 aa)	534	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase-45 (1564 aa)	535	1	1	0
 Neurospora crassa OR74A hypothetical protein (1564 aa)	536	1	1	0
"P-type ATPase (predicted)"	538	0	0	1
estExt_Genemark.C_810149	539	1	1	0
estExt_Genemark.C_10728	540	0	1	0
 Neurospora crassa OR74A hypothetical protein (1561 aa)	544	1	1	0
estExt_fgenesh1_pm.C_30945	545	1	1	2
estExt_Genewise1.C_30782	546	0	1	0
estExt_Genemark.C_50007	549	3	1	0
estExt_Genemark.C_30204	553	2	1	0
 Neurospora crassa OR74A ABC bile acid transporter (1552 aa)	556	1	1	0
 Neurospora crassa OR74A SNF2 family helicase/ATPase (1549 aa)	558	1	1	0
estExt_fgenesh1_pg.C_810332	559	1	1	0
 Neurospora crassa OR74A cytosolic regulator Pianissimo (1548 aa)	561	1	1	0
estExt_fgenesh1_pm.C_30634	563	0	1	0
 Neurospora crassa OR74A development and carotenogenesis control-1 (1543 aa)	565	1	1	0
 Neurospora crassa OR74A ABC transporter (1542 aa)	567	1	1	0
estExt_fgenesh1_pm.C_20653	569	0	1	0
estExt_fgenesh1_pg.C_21239	570	1	1	0
estExt_fgenesh1_pm.C_21344	572	0	1	0
 Neurospora crassa OR74A actin cytoskeleton-regulatory complex protein (1534 aa)	576	1	1	0
 Neurospora crassa OR74A DNA-directed RNA polymerase III largest subunit (1534 aa)	577	1	1	1
estExt_fgenesh1_pm.C_40615	580	1	1	0
estExt_Genewise1.C_813680	581	1	1	0
 Neurospora crassa OR74A glycosylhydrolase family 18-8 (1529 aa)	582	2	2	0
estExt_Genewise1.C_40256	584	1	1	0
"myosin II heavy chain"	585	0	0	1
"Clr6 histone deacetylase complex subunit Pst1"	586	0	0	1
"AMP binding enzyme (predicted)"	587	0	0	1
 Neurospora crassa OR74A hypothetical protein (1517 aa)	590	1	1	0
 Neurospora crassa OR74A hypothetical protein (1516 aa)	592	1	1	1
"Lid2 complex subunit, predicted histone demethylase Lid2"	594	0	0	1
 Neurospora crassa OR74A hypothetical protein (1514 aa)	595	1	1	0
estExt_fgenesh1_pm.C_41028	599	1	1	0
 Neurospora crassa OR74A cell division cycle 15-like (1512 aa)	600	1	1	0
estExt_Genewise1Plus.C_61005	602	2	1	0
 Neurospora crassa OR74A hypothetical protein (1507 aa)	604	2	0	0
"tRNA 2'-O-methylase subunit Trm72 (predicted)"	607	0	0	1
estExt_Genewise1.C_51450	609	1	1	0
 Neurospora crassa OR74A hypothetical protein (1501 aa)	611	4	1	0
e_gw1.1.1799.1	614	1	1	0
 Neurospora crassa OR74A hypothetical protein (1500 aa)	615	1	1	0
"DEP domain protein"	618	0	0	1
estExt_fgenesh1_pm.C_50882	619	1	1	0
fgenesh1_pg.3_#_189	620	1	1	0
estExt_Genewise1.C_812656	621	1	1	0
 Neurospora crassa OR74A hypothetical protein (1493 aa)	623	1	1	0
 Neurospora crassa OR74A hypothetical protein (1492 aa)	625	1	0	0
 Neurospora crassa OR74A cell polarity protein (1492 aa)	626	1	1	0
 Neurospora crassa OR74A paired amphipathic helix protein Sin3a (1491 aa)	627	2	1	0
"IQGAP"	629	0	0	1
estExt_fgenesh1_pg.C_30030	632	1	1	0
 Neurospora crassa OR74A cft-1 (1488 aa)	633	1	1	0
 Neurospora crassa OR74A P-type ATPase (1487 aa)	635	1	1	0
"DNA topoisomerase II"	636	0	0	1
estExt_fgenesh1_pg.C_811299	638	1	1	0
estExt_Genewise1Plus.C_813016	642	1	1	0
 Neurospora crassa OR74A chromatin remodeling factor 3-1 (1483 aa)	644	1	1	0
"DNA polymerase zeta catalytic subunit Rev3 (predicted)"	645	0	0	1
estExt_Genewise1Plus.C_60544	646	0	1	0
estExt_Genemark.C_30206	647	1	1	1
 Neurospora crassa OR74A GTPase activating protein (1477 aa)	652	1	1	0
estExt_fgenesh1_pg.C_50568	654	1	1	0
estExt_Genewise1Plus.C_32137	655	1	1	0
"sulfite reductase Sir1"	656	0	0	1
 Neurospora crassa OR74A TORC1 growth control complex subunit Kog1 (1474 aa)	658	1	1	1
estExt_fgenesh1_pg.C_10769	660	1	1	0
"myosin type V"	661	0	0	1
 Neurospora crassa OR74A hypothetical protein (1472 aa)	662	1	1	0
estExt_Genewise1Plus.C_10735	663	1	1	0
"glutathione S-conjugate-exporting ATPase Abc4"	665	0	0	2
 Neurospora crassa OR74A hypothetical protein (1469 aa)	666	1	1	0
"sorting receptor for vacuolar proteins, Vps10"	667	0	0	1
 Neurospora crassa OR74A hypothetical protein (1467 aa)	668	1	1	0
estExt_Genemark.C_811678	672	1	1	0
estExt_Genemark.C_10510	674	1	1	0
 Neurospora crassa OR74A mrc1-like (1465 aa)	676	1	1	0
"guanyl-nucleotide exchange factor (predicted)"	679	0	0	1
"CLASP family microtubule-associated protein"	680	0	0	1
"formin For3"	681	0	0	1
"anaphase-promoting complex subunit Apc1"	684	0	0	1
estExt_Genewise1.C_40700	685	1	1	0
 Neurospora crassa OR74A MIP1-like DNA polymerase (1457 aa)	688	1	0	0
e_gw1.2.1160.1	689	1	1	0
 Neurospora crassa OR74A hypothetical protein (1455 aa)	692	1	0	0
 Neurospora crassa OR74A defective in methylation-2 (1455 aa)	693	1	1	0
 Neurospora crassa OR74A exonuclease Kem1 (1451 aa)	697	1	1	1
estExt_fgenesh1_pg.C_60129	698	1	1	0
Genemark.693_g	699	1	1	0
"UDP-glucose-glycoprotein glucosyltransferase Gpt1"	701	0	0	1
 Neurospora crassa OR74A integral membrane protein (1449 aa)	702	1	1	0
 Neurospora crassa OR74A chromodomain protein-3 (1447 aa)	703	1	1	0
 Neurospora crassa OR74A hypothetical protein (1446 aa)	704	1	1	0
estExt_Genewise1Plus.C_50128	705	1	1	0
estExt_Genemark.C_30689	706	0	1	0
 Neurospora crassa OR74A hypothetical protein (1445 aa)	708	1	1	0
estExt_fgenesh1_pm.C_30043	710	2	1	0
 Neurospora crassa OR74A set-domain histone methyltransferase-8 (1443 aa)	711	1	1	0
"cleavage factor one Cft1 (predicted)"	712	0	0	1
estExt_Genewise1Plus.C_21767	713	1	1	0
 Neurospora crassa OR74A hypothetical protein (1438 aa)	718	1	1	0
"MAP kinase kinase kinase Win1"	719	0	0	1
 Neurospora crassa OR74A chitinase-1 (1435 aa)	722	2	1	0
estExt_fgenesh1_pg.C_10832	723	1	1	0
e_gw1.1.38.1	724	1	1	0
"C2 domain protein"	726	0	0	1
estExt_fgenesh1_pm.C_811416	727	1	1	0
"ATP-dependent RNA helicase, human DHX29 ortholog (predicted)"	729	0	0	1
"AMP binding enzyme (predicted)"	730	0	0	1
estExt_fgenesh1_pg.C_70001	732	1	1	0
 Neurospora crassa OR74A cytochrome-5 (1424 aa)	733	1	1	0
 Neurospora crassa OR74A hypothetical protein (1423 aa)	734	1	1	0
 Neurospora crassa OR74A hypothetical protein (1423 aa)	735	1	1	0
"cytoskeletal protein binding protein Sla1 family, Shd1 (predicted)"	738	0	0	1
"aminoadipate-semialdehyde dehydrogenase"	740	0	0	1
"SHREC complex subunit Mit1"	741	0	0	1
estExt_fgenesh1_pg.C_812038	745	1	1	0
fgenesh1_pm.4_#_987	748	1	1	0
estExt_Genemark.C_30580	749	2	1	0
 Neurospora crassa OR74A autoinducer 2 sensor kinase/phosphatase luxQ (1415 aa)	750	2	1	0
estExt_fgenesh1_pg.C_30786	752	1	1	0
 Neurospora crassa OR74A hypothetical protein (1414 aa)	754	1	1	0
 Neurospora crassa OR74A hypothetical protein (1411 aa)	757	1	0	0
 Neurospora crassa OR74A transcription elongation factor spt-6 (1408 aa)	760	1	1	1
 Neurospora crassa OR74A menadione-induced gene-12 (1406 aa)	763	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase-46 (1406 aa)	764	2	1	0
estExt_Genemark.C_11158	765	1	1	0
"translation initiation factor eIF4G"	767	0	0	1
"P-type ATPase (predicted)"	770	0	0	2
estExt_Genewise1Plus.C_32348	771	1	1	0
 Neurospora crassa OR74A hypothetical protein (1403 aa)	774	2	1	0
"MAP kinase kinase kinase Wis4"	775	0	0	1
estExt_Genewise1Plus.C_11875	776	1	1	0
"telomere length regulator protein Rif1"	779	0	0	1
estExt_fgenesh1_pm.C_30392	780	1	1	0
"DNA replication endonuclease-helicase Dna2"	783	0	0	1
"ABC transporter Pdr1"	784	0	0	1
 Neurospora crassa OR74A hypothetical protein (1397 aa)	786	1	1	0
estExt_fgenesh1_pm.C_810502	787	0	1	0
estExt_Genewise1.C_810768	788	1	1	0
 Neurospora crassa OR74A DEAD/DEAH box helicase (1392 aa)	790	1	1	1
 Neurospora crassa OR74A hypothetical protein (1391 aa)	792	2	1	0
"Ski complex TPR repeat subunit Ski3 (predicted)"	793	0	0	1
"ATP-dependent DNA helicase Hrp3"	794	0	0	1
estExt_fgenesh1_pg.C_40687	798	1	1	0
 Neurospora crassa OR74A hypothetical protein (1387 aa)	799	1	1	0
"actin interacting protein 3 homolog Bud6"	800	0	0	1
estExt_fgenesh1_pg.C_60436	803	1	1	0
 Neurospora crassa OR74A hypothetical protein (1385 aa)	804	1	0	0
 Neurospora crassa OR74A peroxin 6 (1382 aa)	805	1	1	0
 Neurospora crassa OR74A hypothetical protein (1381 aa)	806	1	0	0
"ENTH/VHS domain protein (predicted)"	807	0	0	1
estExt_Genewise1.C_810253	809	1	1	0
fgenesh1_pg.5_#_405	811	1	1	0
"ATP-dependent DNA helicase/ ubiquitin ligase E3 (predicted)"	812	0	0	1
estExt_Genewise1Plus.C_812441	813	1	1	0
 Neurospora crassa OR74A 5-oxoprolinase (1376 aa)	814	2	1	2
"dicer"	817	0	0	1
"ATP-dependent DNA helicase Hrp1"	819	0	0	1
"formin Fus1"	820	0	0	1
 Neurospora crassa OR74A hypothetical protein (1371 aa)	821	1	1	0
 Neurospora crassa OR74A hypothetical protein (1371 aa)	822	1	1	0
"alpha-1,4-glucan synthase Mok14"	823	0	0	1
"phospholipase D, Pld1"	824	0	0	1
 Neurospora crassa OR74A DUF455 domain-containing protein (1369 aa)	826	1	1	0
estExt_Genewise1Plus.C_813101	828	1	1	0
estExt_Genemark.C_50603	829	1	1	0
estExt_Genewise1.C_50043	830	0	1	0
 Neurospora crassa OR74A ropy-3 (1368 aa)	831	1	1	0
e_gw1.81.3250.1	833	1	1	0
 Neurospora crassa OR74A meiotically up-regulated 190 protein (1367 aa)	834	1	1	0
 Neurospora crassa OR74A hypothetical protein (1367 aa)	835	1	1	0
estExt_Genewise1Plus.C_23116	840	0	1	0
 Neurospora crassa OR74A hypothetical protein (1366 aa)	841	1	1	0
 Neurospora crassa OR74A gulliver-1 (1366 aa)	842	1	1	0
